plab_GeV,sigma_mb,sigma_err_mb
5.94,25.744,0.025
6.0,26.2,0.2
6.04,25.631,0.025
6.14,25.61,0.025
6.24,25.491,0.025
6.44,25.293,0.025
6.64,25.187,0.025
6.84,25.041,0.025
7.0,26.1,0.3
7.73,25.564,0.084
8.0,25.43,0.08
8.0,25.1,0.2
9.84,24.921,0.079
10.0,25.0,0.5
10.0,25.2,0.4
10.0,24.8,0.2
11.9,24.517,0.078
12.0,24.8,0.3
12.0,24.2,0.2
14.0,24.7,0.3
14.0,23.9,0.2
14.07,24.187,0.081
15.0,24.05,0.28
15.0,24.08,0.12
15.96,24.025,0.076
16.0,23.96,0.1
16.0,23.4,0.2
17.0,24.6,0.2
18.0,23.5,0.2
18.02,23.805,0.081
18.46,23.1,0.7
18.5,23.12,0.67
20.0,24.1,0.5
20.0,23.74,0.15
20.0,23.4,0.2
20.0,23.52,0.11
20.29,23.731,0.079
22.1,23.422,0.098
23.0,23.71,0.06
25.0,23.43,0.11
30.0,23.32,0.11
35.0,23.21,0.04
35.0,23.06,0.11
40.0,23.08,0.11
41.03117,20.0,3.75
42.5,23.1,0.13
45.0,23.14,0.12
50.0,23.11,0.06
50.0,22.6,0.5
50.0,23.07,0.06
50.0,23.11,0.12
52.2,23.1,0.17
54.29934,21.4,2.3
55.0,23.14,0.12
60.0,23.33,0.2
70.0,23.22,0.06
100.0,23.4,0.9
100.0,23.33,0.06
100.0,23.29,0.06
118.18357,22.8,1.9
120.0,23.42,0.04
147.0,23.74,0.46
150.0,23.5,0.04
150.0,23.46,0.06
163.63484,21.4,1.6
170.0,23.68,0.05
175.0,22.9,1.2
200.0,23.78,0.04
200.0,23.73,0.09
230.79367,23.2,1.5
240.0,24.1,0.07
280.0,24.43,0.1
310.0,24.5,0.1
340.0,24.62,0.14
1172.4528,31.0,3.6
2298.4128,25.9,4.52
2462418.3,76.1,52.3
2462418.3,36.9,26.3
2503431.0,37.5,12.2
4055144.0,45.0,7.7
4104951.0,66.1,26.2
4104951.0,43.5,23.7
5681594.0,67.9,7.7
5747087.0,118.5,30.3
5747087.0,98.4,30.3
