plab_GeV,sigma_mb,sigma_err_mb
0.57281,27.0,5.0
0.575,28.81,0.11
0.576,29.55,0.42
0.5763,32.6,1.0
0.57796,29.11,0.4
0.5831,28.0,2.0
0.5831,29.31,0.45
0.58765,30.0,1.2
0.59132,29.96,1.2
0.59338,31.1,0.9
0.595,29.26,0.17
0.595,30.96,0.4
0.60878,29.91,0.4
0.614,30.19,0.1
0.61742,34.6,0.7
0.622,32.8,0.3
0.62416,30.71,0.41
0.632,32.14,0.14
0.632,34.24,0.29
0.63686,35.9,0.3
0.63892,34.9,1.3
0.63952,33.34,0.41
0.64259,34.98,1.3
0.65,34.02,0.15
0.651,36.65,0.27
0.65486,34.84,0.4
0.6582,40.0,0.5
0.664,39.59,0.24
0.668,37.56,0.16
0.67019,37.79,0.41
0.673,40.69,0.21
0.6753,37.46,0.44
0.682,43.56,0.24
0.683,46.0,2.9
0.68487,43.6,0.5
0.68551,39.74,0.43
0.687,41.59,0.13
0.68891,44.6,1.9
0.69,41.88,0.48
0.69265,44.82,1.9
0.693,45.18,0.24
0.69367,42.3,1.2
0.69571,42.99,0.47
0.69911,49.0,0.5
0.70081,42.97,0.46
0.702,45.68,0.24
0.705,44.58,0.09
0.711,46.31,0.24
0.71326,45.8,1.7
0.715,44.7,0.48
0.7161,45.55,0.47
0.71711,45.07,1.7
0.718,46.0,0.24
0.71832,49.6,0.3
0.723,45.46,0.14
0.7265,45.5,1.8
0.73035,45.74,1.8
0.73035,44.7,1.4
0.731,45.9,1.9
0.73646,45.43,0.5
0.73866,45.1,1.7
0.73981,50.0,0.5
0.74,44.14,0.48
0.741,44.59,0.12
0.74257,45.29,1.7
0.743,44.1,0.24
0.75681,44.1,0.62
0.75914,48.3,0.5
0.76,41.6,0.14
0.765,41.62,0.45
0.76611,44.4,2.2
0.77002,44.47,2.2
0.774,40.38,0.23
0.775,41.54,0.82
0.77714,39.6,0.78
0.77714,41.82,0.15
0.778,38.63,0.16
0.77944,45.3,0.5
0.78847,39.2,1.4
0.79,38.22,0.44
0.791,36.63,0.09
0.79237,39.16,1.4
0.79971,42.1,0.4
0.804,36.67,0.21
0.8076,37.06,0.69
0.812,36.48,0.21
0.815,35.73,0.43
0.815,35.58,0.07
0.818,36.17,0.21
0.81996,39.0,0.4
0.824,35.8,0.21
0.833,35.12,0.12
0.84,35.63,0.43
0.84326,35.1,1.5
0.845,36.1,0.21
0.84715,34.9,1.5
0.851,36.09,0.12
0.85952,37.1,0.4
0.865,36.66,0.43
0.86949,36.7,0.4
0.87,38.64,0.08
0.873,38.45,0.2
0.87363,37.6,1.6
0.87754,37.43,1.6
0.883,40.23,0.19
0.89,39.94,0.43
0.89387,37.4,2.0
0.89779,37.38,2.0
0.901,41.6,0.4
0.90386,39.0,1.6
0.907,44.41,0.19
0.915,44.21,0.47
0.9181,39.0,1.5
0.9202,43.9,0.4
0.92611,40.2,1.22
0.931,49.58,0.19
0.939,51.58,0.19
0.94,50.29,0.51
0.94041,48.5,0.5
0.94429,47.9,1.9
0.94532,46.37,1.5
0.94835,48.2,1.9
0.95455,50.0,3.0
0.96147,55.2,0.5
0.965,55.56,0.56
0.96553,48.13,1.5
0.96555,54.6,2.1
0.96958,55.13,2.1
0.96958,47.0,5.0
0.971,57.78,0.17
0.9807,60.1,0.5
0.98574,53.32,1.72
0.988,59.88,0.17
0.99,58.54,0.58
0.99376,58.6,2.4
0.99584,54.2,1.79
0.996,60.09,0.18
0.99681,56.0,4.0
0.99786,59.22,2.4
1.00094,61.2,0.5
1.002,60.58,0.18
1.015,58.09,0.57
1.016,59.75,0.18
1.01603,56.76,1.84
1.0161,57.8,2.2
1.02007,58.46,2.2
1.02114,60.5,0.4
1.027,57.8,0.18
1.04,55.18,0.56
1.04019,59.3,0.5
1.0442,54.5,2.4
1.04529,55.17,1.79
1.04832,55.02,2.4
1.05,53.8,0.18
1.06045,54.4,0.5
1.065,50.22,0.54
1.0694,50.4,2.6
1.07354,50.67,2.6
1.075,49.75,0.18
1.07555,48.82,1.63
1.08158,51.8,0.4
1.089,46.69,0.19
1.09,45.63,0.51
1.09572,45.7,1.62
1.0988,44.7,2.2
1.101,44.41,0.19
1.10173,48.9,0.5
1.10277,44.84,2.2
1.115,41.41,0.49
1.11588,41.52,1.53
1.127,41.02,0.19
1.14,39.35,0.47
1.14108,42.8,0.4
1.1411,39.6,2.0
1.1451,39.54,2.0
1.151,39.29,0.19
1.165,37.97,0.47
1.166,38.15,0.19
1.176,38.14,0.19
1.18126,38.3,0.4
1.19,37.26,0.47
1.195,37.19,0.19
1.19545,36.66,1.3
1.201,37.18,0.19
1.20144,37.6,0.4
1.2033,35.9,2.0
1.20753,35.77,2.0
1.215,36.38,0.47
1.226,36.76,0.19
1.24,36.12,0.47
1.24175,36.5,0.5
1.251,36.57,0.19
1.265,36.19,0.47
1.275,36.45,0.19
1.2778,35.5,2.0
1.281,36.42,0.19
1.28193,36.0,0.4
1.28199,35.52,2.0
1.29,36.16,0.47
1.29608,34.45,1.32
1.312,36.56,0.19
1.315,36.23,0.47
1.32118,35.6,0.4
1.332,36.63,0.19
1.34,36.57,0.47
1.349,36.64,0.19
1.355,36.61,0.19
1.365,36.39,0.47
1.38,36.68,0.19
1.38845,35.7,0.4
1.39,36.13,0.47
1.39303,34.6,2.7
1.39561,35.72,1.35
1.399,36.65,0.19
1.409,36.62,0.18
1.415,35.88,0.47
1.42051,35.9,0.4
1.433,36.54,0.18
1.44,36.11,0.47
1.451,36.49,0.18
1.465,35.63,0.47
